"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x732521058507620356","x1527256230904725505",2022-05-19 11:53:55,"Ukraine","Best Vyshyvanka Day greetings from our deminer star Patron The Dog <U+0001F436> https://t.co/ShTPu8q60L","Twitter for iPhone",68,,,,FALSE,FALSE,14759,1507,,,,,,,,"http://pbs.twimg.com/media/FTHncd8WYAIuMv4.jpg","https://t.co/ShTPu8q60L","https://twitter.com/Ukraine/status/1527256230904725505/photo/1","photo","http://pbs.twimg.com/media/FTHncd8WYAIuMv4.jpg","https://t.co/ShTPu8q60L","https://twitter.com/Ukraine/status/1527256230904725505/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1527256230904725505","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1527020314584043520",2022-05-18 20:16:28,"Ukraine","#OTD in 1944 Stalin forcefully deported 200k Crimean Tatars from their native @Crimea. Many of them died. Since 2014, Russia has been forcing Crimean Tatars out again, persecuting them, and now it deports people from all over the occupied territories. Unpunished evil as it is.","Twitter for iPhone",277,,,,FALSE,FALSE,4333,897,,,"OTD",,,,,,,,,,,,,"x872168064153989120","Crimea","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1527020314584043520","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1525768621380755456",2022-05-15 09:22:41,"Ukraine","Official Mother Stefania video by KALUSH Orchestra. To all Ukrainian mothers who go through this horrible war.

227 Ukrainian children have already been killed by Russian monsters, many more injured physically and mentally.

Ukraine will prevail. For every child and every mother. https://t.co/Syd8nMlnuN","Twitter Media Studio",280,,,,FALSE,FALSE,19208,5731,,,,,,,,"http://pbs.twimg.com/amplify_video_thumb/1525765873625186304/img/wzZB30ApWpOsqudb.jpg","https://t.co/Syd8nMlnuN","https://twitter.com/Ukraine/status/1525768621380755456/video/1","photo","http://pbs.twimg.com/amplify_video_thumb/1525765873625186304/img/wzZB30ApWpOsqudb.jpg","https://t.co/Syd8nMlnuN","https://twitter.com/Ukraine/status/1525768621380755456/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1525768621380755456","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1525623426488188929",2022-05-14 23:45:44,"Ukraine","@thisisFINLAND @Eurovision kiitos, Suomi <U+0001F90D><U+0001F499>","Twitter for iPhone",16,"x1525613187558678528","x44074292","thisisFINLAND",FALSE,FALSE,171,6,,,,,,,,,,,,,,,,"x44074292 x15584187","thisisFINLAND Eurovision","fi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1525623426488188929","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1525621729443336197",2022-05-14 23:38:59,"Ukraine","@thisisFINLAND kiitos suomalaiset ystävät <U+0001F90D><U+0001F499>","Twitter for iPhone",29,"x1525570634583003136","x44074292","thisisFINLAND",FALSE,FALSE,115,9,,,,,,,,,,,,,,,,"x44074292","thisisFINLAND","fi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1525621729443336197","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1525620624835678214",2022-05-14 23:34:36,"Ukraine","@Lithuania aciu dear, dear friends <U+0001F1F1><U+0001F1F9> 
#MonikaLiu was great <U+0001F49B><U+0001F49A><U+2764><U+FE0F> https://t.co/Ej4KdlpaOa","Twitter for iPhone",53,"x1525612894695604224","x3058657887","Lithuania",FALSE,FALSE,559,38,,,"MonikaLiu",,,,,"http://pbs.twimg.com/tweet_video_thumb/FSwX3lIWAAEg4ZC.jpg","https://t.co/Ej4KdlpaOa","https://twitter.com/Ukraine/status/1525620624835678214/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/FSwX3lIWAAEg4ZC.jpg","https://t.co/Ej4KdlpaOa","https://twitter.com/Ukraine/status/1525620624835678214/photo/1",,"x3058657887","Lithuania","lt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1525620624835678214","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1525612438661615617",2022-05-14 23:02:04,"Ukraine","you have melted our hearts, friends #Eurovision <U+0001F49B><U+0001F499>...

...and it matters the world to us during this time <U+0001F494>

we send all your love and support to our brave freedom defenders at Azovstal and along the frontline

congrats, KALUSH Orchestra <U+0001F3C6><U+0001F1FA><U+0001F1E6> 

#SaveMariupol #SaveAzovstal https://t.co/Vt7WzpMHFQ","Twitter for iPhone",271,,,,FALSE,FALSE,84787,12440,,,"Eurovision SaveMariupol SaveAzovstal",,,,,"http://pbs.twimg.com/media/FSwQbPEWAAYuaLX.jpg","https://t.co/Vt7WzpMHFQ","https://twitter.com/Ukraine/status/1525612438661615617/photo/1","photo","http://pbs.twimg.com/media/FSwQbPEWAAYuaLX.jpg","https://t.co/Vt7WzpMHFQ","https://twitter.com/Ukraine/status/1525612438661615617/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1525612438661615617","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1523765028796911616",2022-05-09 20:41:07,"Ukraine","<U+0001F1FA><U+0001F1E6><U+0001F91D><U+0001F1FA><U+0001F1F8> https://t.co/a64YG9qHmZ","Twitter for iPhone",5,,,,FALSE,FALSE,10555,1141,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/FSWANWGXsAAzn0I.jpg","https://t.co/a64YG9qHmZ","https://twitter.com/Ukraine/status/1523765028796911616/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/FSWANWGXsAAzn0I.jpg","https://t.co/a64YG9qHmZ","https://twitter.com/Ukraine/status/1523765028796911616/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1523765028796911616","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1523653632285024263",2022-05-09 13:18:28,"Ukraine","@CurlyBasta not sure <U+0001F914>","Twitter for iPhone",10,"x1523652992196481025","x607241656","CurlyBasta",FALSE,FALSE,41,4,,,,,,,,,,,,,,,,"x607241656","CurlyBasta","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1523653632285024263","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1523650362086895617",2022-05-09 13:05:29,"Ukraine","many thanks to @eucopresident @CharlesMichel for his continued support of Ukraine and welcome to Odesa <U+0001F1FA><U+0001F1E6>","Twitter for iPhone",105,"x1523649257349140481","x732521058507620356","Ukraine",FALSE,FALSE,2660,114,,,,,,,,,,,,,,,,"x196994616 x98639150","eucopresident CharlesMichel","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1523650362086895617","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1523649257349140481",2022-05-09 13:01:05,"Ukraine","our PM on the right https://t.co/ZTdhmGYULI","Twitter for iPhone",19,,,,FALSE,FALSE,24415,1755,,,,,,,,"http://pbs.twimg.com/media/FSUW7B9XEAIDF2n.jpg","https://t.co/ZTdhmGYULI","https://twitter.com/Ukraine/status/1523649257349140481/photo/1","photo","http://pbs.twimg.com/media/FSUW7B9XEAIDF2n.jpg","https://t.co/ZTdhmGYULI","https://twitter.com/Ukraine/status/1523649257349140481/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1523649257349140481","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1523574072990261248",2022-05-09 08:02:20,"Ukraine","victory parody https://t.co/6vM0hEWTp3","Twitter for iPhone",14,,,,FALSE,FALSE,34663,5279,,,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1523574031500333056/pu/img/7p3_dju-CzqnMOcN.jpg","https://t.co/6vM0hEWTp3","https://twitter.com/Ukraine/status/1523574072990261248/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1523574031500333056/pu/img/7p3_dju-CzqnMOcN.jpg","https://t.co/6vM0hEWTp3","https://twitter.com/Ukraine/status/1523574072990261248/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1523574072990261248","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1523370733560373250",2022-05-08 18:34:20,"Ukraine","When the night has come… 

…@U2 stands by U. 

Kyiv, Khreshchatyk metro station, 8 May 2022 https://t.co/JI2G7Uccoo","Twitter for iPhone",91,,,,FALSE,FALSE,10257,1615,,,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1523370636248334336/pu/img/Xu-ZUFMnRY18PtZA.jpg","https://t.co/JI2G7Uccoo","https://twitter.com/Ukraine/status/1523370733560373250/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1523370636248334336/pu/img/Xu-ZUFMnRY18PtZA.jpg","https://t.co/JI2G7Uccoo","https://twitter.com/Ukraine/status/1523370733560373250/video/1",,"x18847632","U2","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1523370733560373250","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1522625169554092032",2022-05-06 17:11:44,"Ukraine","thanks to @vitscheberlin &amp; @pileckiinstitut for this piece of video art <U+0001F1FA><U+0001F1E6>","Twitter for iPhone",78,"x1522625050607767558","x732521058507620356","Ukraine",FALSE,FALSE,1816,100,,,,,,,,,,,,,,,,"x1496783157571510274 x1171775035561959426","VitscheBerlin PileckiInstitut","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1522625169554092032","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1522625050607767558",2022-05-06 17:11:15,"Ukraine","where there’s a tractor, there’s a way https://t.co/CVX7EeF1Zf","Twitter for iPhone",38,,,,FALSE,FALSE,14677,2407,,,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1522624934870142977/pu/img/tvFTuKnjlosnAARM.jpg","https://t.co/CVX7EeF1Zf","https://twitter.com/Ukraine/status/1522625050607767558/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1522624934870142977/pu/img/tvFTuKnjlosnAARM.jpg","https://t.co/CVX7EeF1Zf","https://twitter.com/Ukraine/status/1522625050607767558/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1522625050607767558","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1519710039195504640",2022-04-28 16:08:02,"Ukraine","Happy Showa Day to our partners and friends in @Japan. Arigato for your support of Ukraine during these difficult times <U+0001F1FA><U+0001F1E6><U+0001F1EF><U+0001F1F5> 

<U+0001F3A8> Hayao Miyazaki-style works by Ukrainian artist Yuliya Tveritina https://t.co/X7hHTZcH80","Twitter for iPhone",192,,,,FALSE,FALSE,6889,1182,,,,,,,,"http://pbs.twimg.com/media/FRcYNpMWYAEZRy6.jpg","https://t.co/X7hHTZcH80","https://twitter.com/Ukraine/status/1519710039195504640/photo/1","photo","http://pbs.twimg.com/media/FRcYNpMWYAEZRy6.jpg http://pbs.twimg.com/media/FRcYNpaXoAEcEC2.jpg http://pbs.twimg.com/media/FRcYNr9X0AEOio4.jpg http://pbs.twimg.com/media/FRcYNsnWUAQMmjb.jpg","https://t.co/X7hHTZcH80 https://t.co/X7hHTZcH80 https://t.co/X7hHTZcH80 https://t.co/X7hHTZcH80","https://twitter.com/Ukraine/status/1519710039195504640/photo/1 https://twitter.com/Ukraine/status/1519710039195504640/photo/1 https://twitter.com/Ukraine/status/1519710039195504640/photo/1 https://twitter.com/Ukraine/status/1519710039195504640/photo/1",,"x869231","japan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1519710039195504640","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1519047156031762434",2022-04-26 20:13:59,"Ukraine","On this day in 1986, Soviet lies led to Chornobyl disaster, the worst nuclear catastrophe in history. Today Russia, the successor of Soviet lies and brutality, threatens the entire world again. #ArmUkraineNow and help us defeat the Empire of Lies. https://t.co/zrfIbWwcTP","Twitter for iPhone",247,,,,FALSE,FALSE,11148,1957,,,"ArmUkraineNow",,,,,"http://pbs.twimg.com/media/FRS9VhXXsAEu0os.jpg","https://t.co/zrfIbWwcTP","https://twitter.com/Ukraine/status/1519047156031762434/photo/1","photo","http://pbs.twimg.com/media/FRS9VhXXsAEu0os.jpg","https://t.co/zrfIbWwcTP","https://twitter.com/Ukraine/status/1519047156031762434/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1519047156031762434","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
"x732521058507620356","x1518334331898454016",2022-04-24 21:01:28,"Ukraine","@nytimes ruscism 101 <U+0001F447> https://t.co/dvy7Pyptj3","Twitter for iPhone",13,"x1518279881833996289","x807095","nytimes",TRUE,FALSE,532,103,,,,,"twitter.com/Ukraine/status…","https://t.co/dvy7Pyptj3","https://twitter.com/Ukraine/status/1518217114766696449",,,,,,,,,"x807095","nytimes","en","x1518217114766696449","we will fight ruscism, here and now 
<U+270A><U+0001F1FA><U+0001F1E6> https://t.co/V92TT6K7LV",2022-04-24 13:15:41,"Twitter for iPhone",17633,4403,"x732521058507620356","Ukraine","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>",2171331,24,1878,"Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ukraine/status/1518334331898454016","Ukraine / <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>","Ukraine","Yes, this is the official Twitter account of Ukraine. <U+041E><U+0444><U+0456><U+0446><U+0456><U+0439><U+043D><U+0438><U+0439> <U+0430><U+043A><U+0430><U+0443><U+043D><U+0442> <U+0442><U+0432><U+043E><U+0454><U+0457> <U+041D><U+0435><U+043D><U+044C><U+043A><U+0438>.",,FALSE,2171331,24,8709,1878,732,2016-05-17 10:40:04,TRUE,,,,"https://pbs.twimg.com/profile_banners/732521058507620356/1625634206",,"http://pbs.twimg.com/profile_images/1011852346232631296/gw8Yp3dG_normal.jpg"
